the_geom,cartodb_id,the_geom_webmercator,id,bbl,bin,address,zipcode,bldgtype,idflags,ess,year,gfa,gfaflags,numbldgs,numfloors,energy,eui,euiflags,wui,wuiflags,ghg,ghgflags,bep_score,bldg_class,group_threshold,ghgi_25_target,ghgi_30_target,value,primary_type_size_rate,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6,gfa_cat,age_cat,value_cat,eui_base,eui_diff,wui_base,wui_diff,ghg_base,ghg_diff,fuel_mix,bee_rating
,5942,,6826013,3024640014,3063618,420 South 5 Street,11211,K-12 School,0,61,1900,36850,0,1,6,5794819.7,157.3,0,17.13,0,4.94,0,,,,,,5658300,0.918588873813,K-12 School,"{'K-12 School': 33850.0, 'Worship Facility': 3000.0}",0,1536993.1,,1291400,,,,,,,,0,0,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '1291400', 'Electricity': '1536993.1', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5943,,6100788,4067110027,4145164,150-15 79th Avenue,11367,Multifamily Housing,0,79,1965,80200,0,1,6,8856647.2,110.4,0,50.7,0,4.4,0,,D4,10,6.75288296823,4.07165564052,3087900,1,Multifamily Housing,,0,1121879.9,150,5088019.5,,,,,,,,3,3,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '5088019.5', 'Electricity': '1121879.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5944,,9446368,3002867505,3392394,182-200 Atlantic Avenue,11201,Multifamily Housing,0,92,2008,50086,0,1,5,4201715.2,83.9,0,24.68,0,2.6,0,,,,,,5332950,0.772770834165,Multifamily Housing,"{'Multifamily Housing': 38705.0, 'Other': 11381.0}",0,1201331.5,60,785900,,,,,,,,1,4,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '785900', 'Electricity': '1201331.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5945,,9296496,3000367504,3398406,60 Water St,11201,Multifamily Housing,0,80,2013,422946,1,1,17,39206789.3,92.7,0,2.62,1,3.05,0,,RM,8,6.92175294585,3.94821176772,41853680,0.622559082952,Multifamily Housing,"{'K-12 School': 72514.0, 'Multifamily Housing': 329335.0, 'Restaurant': 4055.0, 'Retail Store': 17042.0, 'Parking': 106056.0}",0,10058797.8,360,10337599.9,,,,,,,,4,4,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '10337599.9', 'Electricity': '10058797.8', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5949,,8783388,3024280001,3424711,325 Kent Ave,11249,Multifamily Housing,0,81,2015,430593,1,1,0,48363397.2,112.3,0,37.51,0,4.03,0,,,,,,23968350,0.700641331787,Multifamily Housing,"{'Multifamily Housing': 410772.0, 'Retail Store': 19821.0, 'Parking': 155687.0}",0,10387376.5,586,18280500.3,,,,,,,,4,4,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '18280500.3', 'Electricity': '10387376.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5950,,8489545,1008240015,1080667,50 W 23rd St,10010,Office,0,83,1906,284000,0,2,13,30153329.5,106.2,0,11.65,0,3.11,0,,O6,13,7.885125,3.91609952851,48610350,0.711725352113,Office,"{'K-12 School': 54426.0, 'Retail Store': 27444.0, 'Office': 202130.0}",0,9038152.1,,4096128,,2.29555,,,,,,4,0,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '4096128', 'Electricity': '9038152.1', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5951,,15377584,4092730048,4539223,86-11 LEFFERTS BLVD,11418,Office,0,43,2012,33242,0,1,3,4149803.5,124.8,0,25.06,0,3.77,0,,,,,,1463400,1,Office,,0,1196246.7,,696000,,0.90247,,,,,,1,4,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '696000', 'Electricity': '1196246.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5953,,8980078,3000510001,3335876,81 Washington Street,11201,Multifamily Housing,0,65,1914,123700,0,1,6,10747094.2,86.9,0,37.84,0,2.79,0,,D5,10,6.75288296823,4.07165564052,9823950,0.979789814066,Multifamily Housing,"{'Multifamily Housing': 121200.0, 'Other': 1250.0, 'Restaurant': 1250.0}",0,2814455.9,74,2581784.3,,,,,,,,3,0,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2581784.3', 'Electricity': '2814455.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5954,,14935082,1017210056,1053433,35 Mt. Morris Park West,10027,Multifamily Housing,0,26,1900,50500,0,1,6,7367650.2,145.9,0,48.81,0,8.47,0,,D4,10,6.75288296823,4.07165564052,1424700,1,Multifamily Housing,,0,642720.5,64,113298.3,,,,,4973197.3,,,2,0,1,,,,,,,"{'Fuel Oil 4': 4973197.3, 'Fuel Oil 2': nan, 'Natural Gas': '113298.3', 'Electricity': '642720.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5955,,6312786,4001310009,4000974,41-29 50 STREET,11377,Multifamily Housing,0,59,1963,27288,0,1,7,3410785.5,125,0,51.78,0,6.38,0,,D1,10,6.75288296823,4.07165564052,1109250,0.908449297556,Multifamily Housing,"{'Multifamily Housing': 27288.0, 'Parking': 2750.0}",0,549772.2,37,162500,,,,,,1683958.8,,0,3,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': 1683958.8, 'Natural Gas': '162500', 'Electricity': '549772.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
